Round No.;impact angle;Vi (m/s);Vr (m/s);Vr/Vi;Azi/E;Elev/E;Azi/R;Elev/R;Beta
281;5;333;179;0.54;6.52;13.43;6.41;8.46;14.90
282;5;336;195;0.58;2.72;14.82;2.67;9.83;15.06
283;5;331;257;0.78;1.82;6.23;1.81;1.23;6.49
284;5;331;243;0.73;0.90;10.99;0.89;5.99;11.03
285;5;331;190;0.57;1.09;16.18;1.07;11.18;16.22
286;5;338;241;0.71;1.28;11.22;1.26;6.22;11.29
287;5;340;243;0.71;1.09;10.02;1.08;5.02;10.08
288;5;335;250;0.75;2.37;9.82;2.34;4.82;10.10
289;5;336;202;0.60;4.36;15.33;4.27;10.34;15.92
290;5;331;204;0.62;2.91;12.98;2.86;7.99;13.30
291;5;336;218;0.65;1.46;14.05;1.43;9.05;14.12
292;5;331;244;0.74;2.37;9.06;2.35;4.06;9.36
293;5;327;213;0.65;12.35;12.59;12.16;7.70;17.57
294;5;329;223;0.68;1.27;11.94;1.25;6.94;12.01
295;5;333;206;0.62;2.36;13.29;2.32;8.29;13.49
296;5;329;267;0.81;0.92;5.17;0.92;0.17;5.25
297;5;332;200;0.60;3.27;12.37;3.22;7.38;12.79
298;5;331;239;0.72;2.01;14.09;1.97;9.09;14.23
299;5;329;202;0.61;3.27;13.89;3.21;8.90;14.26
300;5;331;241;0.73;23.35;8.51;23.14;3.92;24.77
301;5;333;229;0.69;8.12;10.68;8.02;5.73;13.39
302;5;335;203;0.61;2.36;13.19;2.32;8.19;13.40
303;5;329;216;0.66;3.63;10.08;3.59;5.09;10.71
304;5;331;213;0.64;4.00;12.51;3.94;7.52;13.12
305;5;331;220;0.66;12.00;11.24;11.84;6.35;16.39
306;5;331;234;0.71;2.73;7.58;2.71;2.59;8.05
307;5;333;169;0.51;4.72;14.90;4.63;9.92;15.61
308;5;336;186;0.55;3.63;14.82;3.56;9.83;15.25
309;5;333;232;0.70;1.63;10.79;1.61;5.79;10.91
310;5;327;177;0.54;5.44;14.02;5.34;9.04;15.02
311;5;331;248;0.75;1.28;8.11;1.27;3.11;8.21
312;5;333;160;0.48;4.55;15.30;4.46;10.32;15.95
313;5;333;191;0.57;2.18;12.71;2.15;7.71;12.89
314;5;333;229;0.69;1.46;12.80;1.44;7.80;12.88
315;5;335;239;0.71;2.55;10.93;2.52;5.93;11.22
316;5;332;235;0.71;2.91;11.31;2.87;6.32;11.67
317;5;332;230;0.69;3.27;11.20;3.23;6.21;11.66
318;5;336;239;0.71;2.18;11.29;2.15;6.29;11.50
319;5;336;243;0.72;1.82;9.92;1.80;4.92;10.08
320;5;331;244;0.74;1.82;8.70;1.80;3.70;8.89
321;5;335;262;0.78;-36;7.43;-36;2.43;7.44
322;5;329;239;0.73;1.27;8.91;1.26;3.91;9.00
323;5;333;147;0.44;7.07;15.66;6.93;10.70;17.15
324;5;331;209;0.63;3.63;12.08;3.58;7.09;12.6
325;5;338;183;0.54;4.36;15.63;4.27;10.64;16.21
326;5;331;225;0.68;2.36;12.85;2.32;7.85;13.06
327;5;333;244;0.73;1.09;10.17;1.08;5.17;10.23
328;5;335;236;0.70;2.73;10.96;2.69;5.97;11.29
329;5;329;163;0.50;4.89;13.88;4.80;8.90;14.70
330;5;327;239;0.73;2.91;7.41;2.89;2.42;7.96
331;5;335;211;0.63;2.91;13.18;2.86;8.19;13.49
332;5;329;222;0.67;1.99;12.27;1.96;7.27;12.43
333;5;333;183;0.55;3.63;15.07;3.56;10.08;15.49
334;5;331;244;0.74;0.73;8.76;0.72;3.76;8.79
335;5;338;220;0.65;2.37;10.34;2.34;5.34;10.61
336;5;327;216;0.66;1.82;12.75;1.79;7.75;12.88
337;5;331;197;0.60;18.60;13.19;18.30;8.45;22.67
338;5;333;216;0.65;2.18;11.77;2.15;6.77;11.97
339;5;336;237;0.71;1.46;12.22;1.44;7.22;12.31
340;5;335;239;0.71;2.18;12.09;2.15;7.09;12.28
341;5;333;230;0.69;2.37;11.63;2.34;6.63;11.87
342;5;331;230;0.69;1.27;10.98;1.25;5.98;11.05
343;5;335;248;0.74;1.64;10.08;1.62;5.08;10.21
344;5;331;197;0.60;4.00;13.23;3.93;8.24;13.81
345;5;338;253;0.75;0.92;9.70;0.91;4.70;9.74
346;5;335;225;0.67;2.91;13.60;2.86;8.61;13.90
347;5;333;243;0.73;1.46;10.91;1.44;5.91;11.01
348;5;331;230;0.69;1.46;10.77;1.44;5.77;10.87
487;10;327;40;0.12;8.67;24.83;8.14;14.94;26.21
488;10;327;32;0.10;6.35;23.17;6.00;13.23;23.98
489;10;329;123;0.37;5.44;20.56;5.18;10.60;21.24
490;10;334;60;0.18;7.41;22.77;7.01;12.85;23.88
491;10;330;96;0.29;9.02;22.51;8.54;12.63;24.16
492;10;332;64;0.19;9.02;22.04;8.55;12.16;23.73
493;10;330;80;0.24;8.31;19.60;7.94;9.70;21.22
494;10;327;100;0.31;7.95;21.67;7.54;11.76;23.02
495;10;329;143;0.44;5.99;20.96;5.70;11.01;21.76
496;10;327;48;0.15;8.67;23.51;8.18;13.62;24.97
497;10;326;48;0.15;7.41;20.32;7.06;10.40;21.58
498;10;327;64;0.20;11.14;23.67;10.50;13.85;26.02
499;10;332;64;0.19;10.27;22.33;9.72;12.48;24.47
500;10;330;32;0.10;9.73;27.16;9.06;17.29;28.73
501;10;332;39;0.12;8.12;21.74;7.70;11.83;23.14
502;10;332;84;0.25;11.49;21.98;10.89;12.17;24.67
503;10;330;22;0.07;9.73;22.15;9.22;12.29;24.09
504;10;334;36;0.11;7.24;23.20;6.84;13.27;24.24
505;10;332;92;0.28;9.37;20.65;8.92;10.78;22.59
506;10;334;40;0.12;9.02;25.12;8.46;15.24;26.59
507;10;329;96;0.29;8.84;19.56;8.45;9.67;21.39
508;10;324;16;0.05;7.95;25.74;7.44;15.83;26.86
509;10;334;36;0.11;10.43;28.57;9.66;18.72;30.26
510;10;332;20;0.06;8.31;25.84;7.77;15.94;27.06
511;10;330;20;0.06;7.95;24.00;7.49;14.09;25.21
512;10;327;48;0.15;12.00;20.97;11.41;11.18;24.03
513;10;327;40;0.12;14.59;20.83;13.88;11.14;25.24
514;10;332;48;0.15;7.78;25.27;7.29;15.36;26.37
515;10;334;100;0.30;7.60;19.97;7.25;10.05;21.31
516;10;342;80;0.23;9.02;21.56;8.56;11.68;23.29
517;10;350;56;0.16;10.95;21.95;10.38;12.12;24.41
518;10;347;28;0.08;1.82;23.89;1.71;13.89;23.96
519;10;338;38;0.11;4.36;25.09;4.09;15.12;25.44
521;10;350;72;0.21;6.69;23.98;6.30;14.04;24.84
522;10;349;96;0.28;5.44;21.88;5.16;11.92;22.51
524;10;337;33;0.10;5.08;23.98;4.78;14.02;24.48
525;10;334;52;0.16;11.14;16.66;10.74;6.84;19.95
526;10;334;44;0.13;11.14;23.29;10.51;13.47;25.68
527;10;337;32;0.10;16.28;19.83;15.54;10.21;25.45
528;10;337;24;0.07;5.80;24.00;5.46;14.05;24.65
529;10;330;39;0.12;7.60;24.05;7.15;14.13;25.15
530;10;331;28;0.09;10.79;24.50;10.14;14.67;26.64
531;10;327;38;0.12;15.61;22.18;14.79;12.53;26.89
532;10;326;29;0.09;9.02;23.81;8.50;13.93;25.37
533;10;325;29;0.09;9.02;23.81;8.50;13.93;25.37
534;10;334;133;0.40;6.88;19.91;6.57;9.98;21.02
535;10;330;181;0.55;6.33;14.01;6.16;4.07;15.35
536;10;328;33;0.10;8.67;20.47;8.26;10.58;22.16
539;10;333;52;0.16;10.08;22.93;9.53;13.08;24.94
540;10;330;57;0.17;7.60;23.98;7.16;14.06;25.09
541;10;327;38;0.12;-4.72;22.91;-4.46;12.94;23.37
542;10;331;24;0.07;5.44;22.77;5.14;12.81;23.38
544;10;329;38;0.12;-1.82;34.37;-1.65;24.37;34.41
545;10;326;45;0.14;8.31;25.22;7.79;15.32;26.47
547;10;321;62;0.19;9.73;17.12;9.37;7.26;19.62
548;10;329;29;0.09;9.37;22.27;8.87;12.40;24.07
549;10;333;95;0.29;9.73;18.52;9.33;8.66;20.84
550;10;327;95;0.29;4.00;18.02;3.84;8.04;18.44
551;10;329;67;0.20;12.18;21.70;11.56;11.91;24.74
552;10;329;33;0.10;6.88;25.37;6.45;15.44;26.23
554;10;335;104;0.31;9.02;24.00;8.49;14.12;25.54
555;10;331;139;0.42;5.44;22.34;5.15;12.38;22.96
556;10;333;36;0.11;12.88;22.98;12.17;13.22;26.17
557;10;334;107;0.32;8.67;21.17;8.24;11.28;22.80
558;10;334;52;0.16;9.37;22.48;8.87;12.61;24.26
559;10;333;80;0.24;6.52;23.90;6.14;13.96;24.72
560;10;327;159;0.49;4.72;17.06;4.55;7.09;17.68
561;10;334;36;0.11;7.24;25.04;6.79;15.11;26.00
563;10;330;87;0.26;6.88;20.86;6.55;10.93;21.92
564;10;332;NaN;NaN;5.80;19.45;5.54;9.50;20.26
565;10;332;68;0.21;9.73;24.33;9.15;14.46;26.09
566;10;334;84;0.25;12.88;23.74;12.14;13.98;26.83
567;10;329;40;0.12;7.95;24.23;7.48;14.32;25.43
568;10;331;52;0.16;7.24;23.06;6.84;13.13;24.11
569;10;334;111;0.33;8.31;19.10;7.95;9.20;20.77
570;10;329;56;0.17;10.08;25.43;9.44;15.57;27.23
571;10;328;131;0.40;7.24;20.31;6.90;10.39;21.51
572;10;330;127;0.39;3.63;19.86;3.47;9.88;20.18
574;10;330;68;0.21;11.14;22.57;10.54;12.75;25.04
575;10;329;44;0.13;9.02;23.65;8.50;13.77;25.22
578;10;328;64;0.20;9.37;22.89;8.86;13.02;24.64
579;10;329;100;0.30;7.60;21.44;7.22;11.52;22.69
581;10;329;153;0.47;5.08;18.02;4.88;8.06;18.70
582;10;333;115;0.35;9.73;21.58;9.24;11.72;23.58
583;10;327;25;0.08;5.44;24.00;5.12;14.04;24.57
584;10;332;84;0.25;7.95;21.84;7.54;11.93;23.18
585;10;334;33;0.10;6.16;23.83;5.80;13.88;24.57
587;10;328;72;0.22;9.02;24.02;8.49;14.14;25.56
589;10;330;151;0.46;5.80;18.13;5.57;8.18;19.01
590;10;331;60;0.18;7.60;22.89;7.18;12.97;24.05
591;10;328;32;0.10;9.37;26.62;8.74;16.74;28.11
592;10;327;30;0.09;9.02;25.61;8.45;15.73;27.05
593;10;329;25;0.08;1.09;22.90;1.03;12.90;22.92
594;10;325;32;0.10;10.43;22.78;9.86;12.94;24.94
349;15;331;55;0.17;2.55;32.65;2.25;17.66;32.74
350;15;329;23;0.07;5.25;27.66;4.77;12.72;28.12
351;15;326;NaN;NaN;13.39;32.18;11.86;17.54;34.58
352;15;326;45;0.14;26.79;28.60;24.19;15.04;38.40
354;15;336;30;0.09;7.07;29.36;6.36;14.46;30.13
357;15;326;23;0.07;11.65;32.71;10.29;17.98;34.50
358;15;332;NaN;NaN;-10.79;40.35;-9;25.57;41.53
359;15;327;56;0.17;13.57;27.47;12.33;12.85;30.40
360;15;326;34;0.10;4.00;25.10;3.68;10.13;25.40
361;15;331;NaN;NaN;3.63;24.64;3.35;9.67;24.89
362;15;327;27;0.08;12.53;32.96;11.05;18.27;35.01
366;15;326;23;0.07;10.08;31.56;8.96;16.76;32.97
367;15;326;27;0.08;9.73;31.76;8.32;16.94;32.97
368;15;326;NaN;NaN;17.61;30.49;15.75;16.11;34.78
370;15;332;26;0.08;11.67;33.90;10.24;19.17;35.62
371;15;324;NaN;NaN;7.42;30.48;6.64;15.59;31.29
374;15;326;NaN;NaN;8.31;27.41;7.55;12.55;28.55
375;15;326;24;0.07;9.73;32.75;8.59;17.94;34.01
377;15;329;NaN;NaN;16.95;28.70;15.30;14.28;32.96
382;15;331;26;0.08;-4;29.26;-4;14.29;29.51
385;15;331;24;0.07;13.40;27.07;12.20;12.44;29.98
390;15;331;27;0.08;9.02;28.73;8.14;13.90;30.00
397;15;332;81;0.24;12.88;31.77;11.44;17.10;34.03
398;15;335;142;0.42;11.32;32.77;10.01;17.70;34.15
399;15;330;128;0.39;17.28;30.25;15.47;15.85;34.43
400;15;328;113;0.34;7.95;31.34;7.08;16.47;32.23
402;15;NaN;NaN;NaN;14.43;30.35;12.91;15.77;33.31
403;15;330;57;0.17;13.91;32.85;12.28;18.23;35.37
404;15;325;37;0.11;11.65;32.23;10.32;17.50;34.06
408;15;329;81;0.25;13.91;32.26;12.32;17.65;34.83
410;15;328;80;0.24;9.73;31.32;8.66;16.51;32.65
414;15;329;80;0.24;5.61;28.43;5.07;13.49;28.93
417;15;324;84;0.26;5.08;27.07;4.63;12.12;27.51
418;15;327;82;0.25;9.73;32.37;8.61;17.56;33.65
419;15;326;82;0.25;7.95;32.01;7.05;17.14;32.88
421;15;329;91;0.28;9.37;28.35;8.47;13.53;29.74
422;15;329;80;0.24;6.52;30.38;5.83;15.47;31.01
423;15;330;79;0.24;10.43;31.73;9.26;16.95;33.23
425;15;323;85;0.26;9.90;29.89;8.88;15.09;31.34
426;15;327;80;0.24;14.59;31.80;12.95;17.23;34.67
432;15;332;82;0.25;4.72;30.64;4.22;15.68;30.97
435;15;335;NaN;NaN;10.08;32.07;8.94;17.27;33.45
436;15;328;23;0.07;11.84;28.46;10.70;13.75;30.63
438;15;329;72;0.22;14.93;25.44;13.71;10.90;29.24
443;15;332;NaN;NaN;8.85;31.73;7.82;17.89;33.78
445;15;330;NaN;NaN;26.64;28.58;24.06;15.01;38.29
448;15;326;25;0.08;12.00;29.38;10.79;14.67;31.53
450;15;328;28;0.09;16.95;31.72;15.05;17.29;35.54
451;15;323;20;0.06;14.25;27.89;12.92;13.30;31.06
457;15;326;29;0.09;13.22;30.24;11.84;15.59;32.75
458;15;329;29;0.09;8.31;27.58;7.55;12.72;28.71
